uuid,f_address,Match_addr,Longitude,Latitude,Addr_type,Score,Status,Region,RegionAbbr,Subregion,MetroArea,City,Nbrhd,geometry,Match_type,LongLabel,ShortLabel,Type,PlaceName,Place_addr,Phone,URL,Rank,AddBldg,AddNum,AddNumFrom,AddNumTo,AddRange,Side,StPreDir,StPreType,StName,StType,StDir,BldgType,BldgName,LevelType,LevelName,UnitType,UnitName,SubAddr,StAddr,Block,Sector,District,Territory,Zone,Postal,PostalExt,Country,LangCode,Distance,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ExInfo
40,"Burnaby, BC",Barnaby's,-75.31124999999997,39.897320000000036,POI,64.99,T,Pennsylvania,PA,Delaware County,Philadelphia Metro Area,Holmes,Holmes,POINT (-75.31124999999997 39.89732000000004),A,"Barnaby's, 2107 MacDade Blvd, Holmes, PA, 19043, USA",Barnaby's,American Food,Barnaby's,"2107 MacDade Blvd, Holmes, Pennsylvania, 19043",(610) 522-5400,http://barnabysofamerica.com/,19.0,,2107,,,,L,,,MacDade,Blvd,,,,,,,,,2107 MacDade Blvd,,,,,,19043,,USA,ENG,0.0,-75.31124999999997,39.897320000000036,-75.31624999999997,-75.30624999999998,39.89232000000003,39.90232000000004,BC
41,"Brampton, Brampton","Brampton, North Dakota",-97.77832999999998,45.99368000000004,Locality,100.0,T,North Dakota,ND,Sargent County,,Brampton,,POINT (-97.77832999999998 45.99368000000004),A,"Brampton, ND, USA",Brampton,Village,Brampton,"Brampton, North Dakota",,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-97.77832999999998,45.99368000000004,-97.78832999999999,-97.76832999999998,45.98368000000004,46.00368000000004,
42, ,,0.0,0.0,,0.0,U,,,,,,,,A,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
43, ,,0.0,0.0,,0.0,U,,,,,,,,A,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
44,"Fremont, CA","Fremont, California",-121.98304999999999,37.55135000000007,Locality,100.0,T,California,CA,Alameda County,San Francisco Bay Area,Fremont,,POINT (-121.98305 37.55135000000007),A,"Fremont, CA, USA",Fremont,City,Fremont,"Fremont, California",,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-121.98304999999999,37.55135000000007,-122.08604999999999,-121.88005,37.44835000000007,37.65435000000007,
45,"San Ramon, CA","San Ramon, California",-121.96900999999997,37.779450000000054,Locality,100.0,T,California,CA,Contra Costa County,San Francisco Bay Area,San Ramon,,POINT (-121.96901 37.77945000000005),A,"San Ramon, CA, USA",San Ramon,City,San Ramon,"San Ramon, California",,,8.35,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-121.96900999999997,37.779450000000054,-122.01800999999998,-121.92000999999996,37.730450000000054,37.82845000000005,
46,"MOUNTAIN VIEW, CA","Mountain View, California",-122.08159999999998,37.389670000000024,Locality,100.0,T,California,CA,Santa Clara County,San Francisco Bay Area,Mountain View,,POINT (-122.0816 37.38967000000002),A,"Mountain View, CA, USA",Mountain View,City,Mountain View,"Mountain View, California",,,8.32,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-122.08159999999998,37.389670000000024,-122.12259999999998,-122.04059999999998,37.34867000000003,37.43067000000002,
47,"Dublin, CA","Dublin, California",-121.91634999999997,37.70423000000005,Locality,100.0,M,California,CA,Alameda County,San Francisco Bay Area,Dublin,,POINT (-121.91635 37.70423000000005),A,"Dublin, CA, USA",Dublin,City,Dublin,"Dublin, California",,,8.67,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-121.91634999999997,37.70423000000005,-121.96834999999997,-121.86434999999996,37.65223000000005,37.75623000000005,
48,"Saratoga, CA","Saratoga, California",-122.01400999999998,37.27105000000006,Locality,100.0,T,California,CA,Santa Clara County,San Francisco Bay Area,Saratoga,,POINT (-122.01401 37.27105000000006),A,"Saratoga, CA, USA",Saratoga,City,Saratoga,"Saratoga, California",,,8.86,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-122.01400999999998,37.27105000000006,-122.04800999999999,-121.98000999999998,37.23705000000006,37.30505000000006,
49,"SUNNYVALE, CA","Sunnyvale, California",-122.03799999999995,37.37172000000004,Locality,100.0,M,California,CA,Santa Clara County,San Francisco Bay Area,Sunnyvale,,POINT (-122.038 37.37172000000004),A,"Sunnyvale, CA, USA",Sunnyvale,City,Sunnyvale,"Sunnyvale, California",,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-122.03799999999995,37.37172000000004,-122.08899999999996,-121.98699999999995,37.32072000000004,37.42272000000004,
